Model,Training Time (s),Val Accuracy,Val F1,Trainable Params,Total Params
LoRA,218.65903186798096,0.902,0.9023064424849818,889350,110371590
Full Fine-tuning,374.0917053222656,0.352,0.18328994082840236,109486854,109486854
